Filter-Beschreibung: This Filter filters out all words that are not in the reference database. 
asylund: 12; 0.0428%; Rang: 79; Referenz: 0.0%
behandlungsablauf: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mittelzuwendungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufgesplitterten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vertragsbrüchen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wildbiologie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
subventionswirtschaft: 1; 0.0036%; Rang: 90; Referenz: 0.0%
berufsdenunzianten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
budgetvereinbarungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unterstützungsleistung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
entwicklungshilfepolitik: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mandatswidrige: 1; 0.0036%; Rang: 90; Referenz: 0.0%
hauptanziehungspunkt: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rationalisierungsinvestitionen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kernforschungszentren: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kinderbedarfs: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fluchtgrunds: 1; 0.0036%; Rang: 90; Referenz: 0.0%
urt: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bonitätssystem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
paralasylund: 1; 0.0036%; Rang: 90; Referenz: 0.0%
technologievorgaben: 1; 0.0036%; Rang: 90; Referenz: 0.0%
naturzerstörungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundwert: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gemeinschaftsfonds: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gewahrsamszentren: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gemeinschaftslebens: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gesichtsbedeckung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundfunk: 1; 0.0036%; Rang: 90; Referenz: 0.0%
prüfungsstandards: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fischereibetriebe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ortskräfteskandals: 1; 0.0036%; Rang: 90; Referenz: 0.0%
außenhandelsüberschüsse: 1; 0.0036%; Rang: 90; Referenz: 0.0%
datensammelkrake: 1; 0.0036%; Rang: 90; Referenz: 0.0%
steuererhebungsrecht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufheizung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
weichenstellende: 1; 0.0036%; Rang: 90; Referenz: 0.0%
monatsbedarfe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rentenfinanzierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
quotierungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
obstoder: 1; 0.0036%; Rang: 90; Referenz: 0.0%
laxeren: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundversorgungsrelevante: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vergütungsanspruch: 1; 0.0036%; Rang: 90; Referenz: 0.0%
berufseintritt: 1; 0.0036%; Rang: 90; Referenz: 0.0%
impfnötigung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wirklichkeitsfremder: 1; 0.0036%; Rang: 90; Referenz: 0.0%
realitätsfremde: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grenzausgleichs: 1; 0.0036%; Rang: 90; Referenz: 0.0%
berufsfeldorientiert: 1; 0.0036%; Rang: 90; Referenz: 0.0%
pflegesensitiven: 1; 0.0036%; Rang: 90; Referenz: 0.0%
lebensmittelbesteuerung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
überstaatlichen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
hinnehmbarem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bundeswasserstraßennetzes: 1; 0.0036%; Rang: 90; Referenz: 0.0%
integrationsbereitschaft: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kurzzeithäftlingen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
oligopole: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mbfr: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ermögsoziale: 1; 0.0036%; Rang: 90; Referenz: 0.0%
haftungsfazilität: 1; 0.0036%; Rang: 90; Referenz: 0.0%
versorgungsrelevanten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
hochbegabungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
inhumanität: 1; 0.0036%; Rang: 90; Referenz: 0.0%
beweislasterleichterungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
investitionskapital: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rechtswirkung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
strafaussetzung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ferngasleitung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundaufgaben: 1; 0.0036%; Rang: 90; Referenz: 0.0%
recyclingtechnologien: 1; 0.0036%; Rang: 90; Referenz: 0.0%
parlamentsrechts: 1; 0.0036%; Rang: 90; Referenz: 0.0%
coronamaßnahmen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
erwerbsunfähigkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
arbeitsvermittlungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ermessenseinbürgerung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
referenzrahmens: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bürgergeldleistungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
saldierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
islamtheologischen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
naturzerstörung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
flächenbewirtschaftung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
staatlicherseits: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vertragswidriger: 1; 0.0036%; Rang: 90; Referenz: 0.0%
drittfrauen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
begünstigenden: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gefährdungszulagen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
menschgemachten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gegenparteien: 1; 0.0036%; Rang: 90; Referenz: 0.0%
klassenstärken: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufenthaltsbeendender: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unbeschränkten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
berechtigungsschein: 1; 0.0036%; Rang: 90; Referenz: 0.0%
manipulationsmacht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ausläufen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
lebensmittelgifte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
studienplatzwechsel: 1; 0.0036%; Rang: 90; Referenz: 0.0%
alltagsabläufe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
werbefinanzierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
abiturientenquoten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
asylanerkennung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
laufställen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
umstellungsbelastungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ideologiebasierten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
doppelberufstätigkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
technologieoffenes: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bundesdatenschutzgesetz: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fehlkonstruktion: 1; 0.0036%; Rang: 90; Referenz: 0.0%
lobbyinteressen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
investitionshemmnisse: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kulturweitergabe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
umverteilungsquoten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
anstellungsverhältnissen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
strafurteil: 1; 0.0036%; Rang: 90; Referenz: 0.0%
einkommensteuern: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundsicherungsbezieher: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vertragsabschlussfreiheit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
untermaßverbot: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unternehmenskalkulationen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
informationellen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sachgütern: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kontrollierbare: 1; 0.0036%; Rang: 90; Referenz: 0.0%
geldfunktionen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
verbundlösungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
therapiefreiheit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
anpassungswille: 1; 0.0036%; Rang: 90; Referenz: 0.0%
beängstigendem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
steuergrundfreibetrag: 1; 0.0036%; Rang: 90; Referenz: 0.0%
erhalfamilie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
außenhandelsbeziehungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
asylgründen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gegengesellschaften: 1; 0.0036%; Rang: 90; Referenz: 0.0%
schicksalsfragen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
dienstunfähigkeits: 1; 0.0036%; Rang: 90; Referenz: 0.0%
asylregelung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
klimaschutzbestimmungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sonderweges: 1; 0.0036%; Rang: 90; Referenz: 0.0%
infrastruktursparte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kulturabbruch: 1; 0.0036%; Rang: 90; Referenz: 0.0%
haltungssysteme: 1; 0.0036%; Rang: 90; Referenz: 0.0%
anspruchsgegnerin: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wanderungsdrucks: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mehrfachbezug: 1; 0.0036%; Rang: 90; Referenz: 0.0%
makrosteuerung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
opportunem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wildarten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
waidgerechte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
suprastaatliche: 1; 0.0036%; Rang: 90; Referenz: 0.0%
digitalfreie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wirtschaftsgebiet: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kulturrelativismus: 1; 0.0036%; Rang: 90; Referenz: 0.0%
arbeitsplatzwie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mitgeschöpfe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
dieselfahrverbote: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zwangsbeiträgen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
beratungsscheinregelung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zweitoder: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bodenerosionen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
willkommensprämie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
einfachung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
leistungsorientierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
freizügigkeitsregelungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
personalaufwuchses: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufwertungsgewinne: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gestaaten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
regierungsamtlichem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nachzugsanspruches: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bestandsgrößen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ansoziale: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rohstoffarmes: 1; 0.0036%; Rang: 90; Referenz: 0.0%
regulierungstendenzen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
abtreibungsfolgen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
handlungsspielraums: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zwischenstaatlicher: 1; 0.0036%; Rang: 90; Referenz: 0.0%
warmperioden: 1; 0.0036%; Rang: 90; Referenz: 0.0%
betreuungsregeln: 1; 0.0036%; Rang: 90; Referenz: 0.0%
betriebsbereite: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nachfol: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ausbildungshilfen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bagatellisierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ausländerrechtlich: 1; 0.0036%; Rang: 90; Referenz: 0.0%
erwirtschaftetem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
justizwahlausschuss: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unterhaltsrechtlichen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
spardepot: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sondereinsätze: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wildwuchses: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nichd: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wirkmächtiges: 1; 0.0036%; Rang: 90; Referenz: 0.0%
seelenlandschaft: 1; 0.0036%; Rang: 90; Referenz: 0.0%
disinformation: 1; 0.0036%; Rang: 90; Referenz: 0.0%
korruptionsfördernde: 1; 0.0036%; Rang: 90; Referenz: 0.0%
lastengerechtigkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gedankenaustausches: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wiederholungsfällen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
arbeitssprachen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kostentreibenden: 1; 0.0036%; Rang: 90; Referenz: 0.0%
großstudie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sozialbewertung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
leistungswettbewerb: 1; 0.0036%; Rang: 90; Referenz: 0.0%
maßt: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gewahrsamsplätzen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
entscheidungsverfahren: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unternehmenssteuersenkungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
regionalprogrammen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
wohnbaugrundstücken: 1; 0.0036%; Rang: 90; Referenz: 0.0%
auseinanderbrechenden: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mittelumschichtung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rückvergütungssysteme: 1; 0.0036%; Rang: 90; Referenz: 0.0%
socialcredit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
politiknahe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
volkssouveränität: 1; 0.0036%; Rang: 90; Referenz: 0.0%
baumaterials: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kreditforderungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bewegungsprofile: 1; 0.0036%; Rang: 90; Referenz: 0.0%
goldreserve: 1; 0.0036%; Rang: 90; Referenz: 0.0%
selbstverwaltungsstrukturen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
studierfähigkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
windschleppen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
grundprosoziale: 1; 0.0036%; Rang: 90; Referenz: 0.0%
freiheitsrecht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fahndungsmöglichkeiten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
medienbeeinflussung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bagatellbehandlungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
goldgedeckten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
regulierungsintensität: 1; 0.0036%; Rang: 90; Referenz: 0.0%
pflegeaufgabe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
visahebel: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kohleenergie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bundesstrategie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gelandwirtschaft: 1; 0.0036%; Rang: 90; Referenz: 0.0%
hinweisgeberschutzgesetzes: 1; 0.0036%; Rang: 90; Referenz: 0.0%
märchenwalds: 1; 0.0036%; Rang: 90; Referenz: 0.0%
reduktionsgesetzgebung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nichtregierungs: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zensurmaßnahmen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
solarausbau: 1; 0.0036%; Rang: 90; Referenz: 0.0%
inf: 1; 0.0036%; Rang: 90; Referenz: 0.0%
asylparadies: 1; 0.0036%; Rang: 90; Referenz: 0.0%
stauvermeidende: 1; 0.0036%; Rang: 90; Referenz: 0.0%
plinarrechts: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kollektivmaßnahmen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nutztierbestände: 1; 0.0036%; Rang: 90; Referenz: 0.0%
eigenverwahrung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
entdemokratisierung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
anleihemärkte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
sprachkennnisse: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kreditmechanismen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
strafverfolgungsbefugnisse: 1; 0.0036%; Rang: 90; Referenz: 0.0%
regierungsseitigen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
umweltvereinigungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
forderungsguthaben: 1; 0.0036%; Rang: 90; Referenz: 0.0%
einkommensanreize: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zentrierte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
selbstgenutztem: 1; 0.0036%; Rang: 90; Referenz: 0.0%
gewinnoder: 1; 0.0036%; Rang: 90; Referenz: 0.0%
medienstaatsvertrags: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vernunftgesteuerte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rückführungsmaßnahmen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vorsorgeförderung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
völkerrechtes: 1; 0.0036%; Rang: 90; Referenz: 0.0%
aufenthaltsunberechtigter: 1; 0.0036%; Rang: 90; Referenz: 0.0%
modellvorschlag: 1; 0.0036%; Rang: 90; Referenz: 0.0%
futtermittelsicherheit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vereinfachende: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zuverdienste: 1; 0.0036%; Rang: 90; Referenz: 0.0%
trennungsfolgen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kultursorten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
weisungsrechte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
steuerfinanzierten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
jid: 1; 0.0036%; Rang: 90; Referenz: 0.0%
startkredit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
ungehinderter: 1; 0.0036%; Rang: 90; Referenz: 0.0%
nachbarraum: 1; 0.0036%; Rang: 90; Referenz: 0.0%
justizpersonals: 1; 0.0036%; Rang: 90; Referenz: 0.0%
angelsports: 1; 0.0036%; Rang: 90; Referenz: 0.0%
staatsfreies: 1; 0.0036%; Rang: 90; Referenz: 0.0%
verbringung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
terminengpässe: 1; 0.0036%; Rang: 90; Referenz: 0.0%
akkreditierungsbürokratie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
justizministerien: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fremdrentenrecht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vorzubehalten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rollenkonflikten: 1; 0.0036%; Rang: 90; Referenz: 0.0%
mainstreaming: 1; 0.0036%; Rang: 90; Referenz: 0.0%
milliardenrisiko: 1; 0.0036%; Rang: 90; Referenz: 0.0%
verfahrensberatung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
parallelwirtschaft: 1; 0.0036%; Rang: 90; Referenz: 0.0%
zweigeschlechtlichkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
justizhoheit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
spannbetonbauweise: 1; 0.0036%; Rang: 90; Referenz: 0.0%
begabungsgerecht: 1; 0.0036%; Rang: 90; Referenz: 0.0%
manipulationssicher: 1; 0.0036%; Rang: 90; Referenz: 0.0%
fangmengenfestlegung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
behaftete: 1; 0.0036%; Rang: 90; Referenz: 0.0%
allgemeingüter: 1; 0.0036%; Rang: 90; Referenz: 0.0%
rücknahmebereite: 1; 0.0036%; Rang: 90; Referenz: 0.0%
leitindustrie: 1; 0.0036%; Rang: 90; Referenz: 0.0%
unwilligkeit: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bildungschance: 1; 0.0036%; Rang: 90; Referenz: 0.0%
berufsfischerei: 1; 0.0036%; Rang: 90; Referenz: 0.0%
bleiberechte: 1; 0.0036%; Rang: 90; Referenz: 0.0%
stromimportland: 1; 0.0036%; Rang: 90; Referenz: 0.0%
vergemeinschaftungen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
kirchenasylvereinbarung: 1; 0.0036%; Rang: 90; Referenz: 0.0%
verwahrrisiko: 1; 0.0036%; Rang: 90; Referenz: 0.0%
förderanlagen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
abbedingen: 1; 0.0036%; Rang: 90; Referenz: 0.0%
